timestamp,temperature,humidity,weight
 1/3/19  8:0:0  AM,27.3,46.4,3.52
 1/3/19  8:1:0  AM,27.3,46.2,3.52
 1/3/19  8:2:0  AM,27.3,46.3,3.52
 1/3/19  8:3:0  AM,27.5,46.3,3.53
 1/3/19  8:4:0  AM,27.3,46.3,3.53
 1/3/19  8:5:0  AM,27.3,46.4,3.53
 1/3/19  8:6:0  AM,27.2,46.4,3.53
 1/3/19  8:7:0  AM,27.3,46.4,3.53
 1/3/19  8:8:0  AM,27.1,46.4,3.53
 1/3/19  8:9:0  AM,27.3,46.4,3.53
 1/3/19  10:0:0  AM,30.1,35.2,3.53
 1/3/19  10:1:0  AM,30.1,35.2,3.54
 1/3/19  10:2:0  AM,30.1,35.2,3.54
 1/3/19  10:3:0  AM,30.2,35.2,3.54
 1/3/19  10:4:0  AM,30.1,35.2,3.54
 1/3/19  10:5:0  AM,30.4,35.1,3.54
 1/3/19  10:6:0  AM,30.1,35.1,3.54
 1/3/19  10:7:0  AM,30.3,34.3,3.54
 1/3/19  10:8:0  AM,30.2,34.1,3.54
 1/3/19  10:9:0  AM,30.1,34.1,3.54
 1/3/19  12:0:0  PM,32.4,18.6,3.51
 1/3/19  12:1:0  PM,32.4,18.5,3.51
 1/3/19  12:2:0  PM,32.4,18.5,3.51
 1/3/19  12:3:0  PM,32.8,18.5,3.51
 1/3/19  12:4:0  PM,32.4,18.5,3.51
 1/3/19  12:5:0  PM,32.4,18.5,3.51
 1/3/19  12:6:0  PM,32.4,18.3,3.51
 1/3/19  12:7:0  PM,33.2,18.3,3.51
 1/3/19  12:8:0  PM,32.4,18.3,3.51
 1/3/19  12:9:0  PM,33.3,18.2,3.51
 1/3/19  2:0:0  PM,35.4,17.3,3.51
 1/3/19  2:1:0  PM,35.4,17.4,3.51
 1/3/19  2:2:0  PM,35.4,17.4,3.51
 1/3/19  2:3:0  PM,35.6,17.4,3.51
 1/3/19  2:4:0  PM,35.5,17.8,3.51
 1/3/19  2:5:0  PM,35.7,17.8,3.51
 1/3/19  2:6:0  PM,35.4,17.8,3.51
 1/3/19  2:7:0  PM,35.8,17.8,3.51
 1/3/19  2:8:0  PM,35.4,17.8,3.51
 1/3/19  2:9:0  PM,35.4,17.8,3.51
 1/3/19  4:0:0  PM,34.5,32.4,3.52
 1/3/19  4:1:0  PM,34.2,32.4,3.52
 1/3/19  4:2:0  PM,34.2,32.4,3.52
 1/3/19  4:3:0  PM,34.2,32.4,3.52
 1/3/19  4:4:0  PM,34.2,32.5,3.52
 1/3/19  4:5:0  PM,34.1,32.5,3.52
 1/3/19  4:6:0  PM,33.5,32.5,3.52
 1/3/19  4:7:0  PM,33.5,32.6,3.52
 1/3/19  4:8:0  PM,33.5,32.6,3.52
 1/3/19  4:9:0  PM,33.5,32.6,3.52
 1/3/19  6:0:0  PM,31.1,45.6,3.53
 1/3/19  6:1:0  PM,31.1,45.6,3.53
 1/3/19  6:2:0  PM,31.1,45.6,3.53
 1/3/19  6:3:0  PM,29.8,45.6,3.53
 1/3/19  6:4:0  PM,29.8,45.7,3.53
 1/3/19  6:5:0  PM,29.8,45.8,3.53
 1/3/19  6:6:0  PM,29.8,45.8,3.53
 1/3/19  6:7:0  PM,29.7,45.8,3.53
 1/3/19  6:8:0  PM,29.7,46.2,3.53
 1/3/19  6:9:0  PM,29.7,46.2,3.53
 1/3/19  8:0:0  PM,27.5,54.3,3.53
 1/3/19  8:1:0  PM,27.5,54.3,3.53
 1/3/19  8:2:0  PM,27.5,54.3,3.53
 1/3/19  8:3:0  PM,27.5,54.3,3.53
 1/3/19  8:4:0  PM,27.5,54.3,3.53
 1/3/19  8:5:0  PM,27.3,54.2,3.53
 1/3/19  8:6:0  PM,27.2,54.1,3.53
 1/3/19  8:7:0  PM,27.3,54.3,3.53
 1/3/19  8:8:0  PM,27.1,54.3,3.53
 1/3/19  8:9:0  PM,27.3,54.2,
 2/3/19  8:0:0  AM,28.3,58.4,3.72
 2/3/19  8:1:0  AM,28.3,58.2,3.72
 2/3/19  8:2:0  AM,28.3,58.3,3.72
 2/3/19  8:3:0  AM,28.5,58.3,3.73
 2/3/19  8:4:0  AM,28.3,58.3,3.73
 2/3/19  8:5:0  AM,28.3,57.4,3.73
 2/3/19  8:6:0  AM,28.3,57.4,3.73
 2/3/19  8:7:0  AM,28.3,57.4,3.73
 2/3/19  8:8:0  AM,28.1,57.4,3.73
 2/3/19  8:9:0  AM,28.3,57.4,3.73
 2/3/19  10:0:0  AM,30.1,39.2,3.73
 2/3/19  10:1:0  AM,30.1,39.2,3.74
 2/3/19  10:2:0  AM,30.1,39.2,3.74
 2/3/19  10:3:0  AM,30.2,39.2,3.74
 2/3/19  10:4:0  AM,30.1,39.2,3.74
 2/3/19  10:5:0  AM,30.4,39.1,3.74
 2/3/19  10:6:0  AM,30.1,39.1,3.74
 2/3/19  10:7:0  AM,30.3,39.3,3.74
 2/3/19  10:8:0  AM,30.2,38.1,3.74
 2/3/19  10:9:0  AM,30.1,38.1,3.74
 2/3/19  12:0:0  PM,34.4,23.6,3.78
 2/3/19  12:1:0  PM,34.4,23.6,3.78
 2/3/19  12:2:0  PM,34.4,23.6,3.78
 2/3/19  12:3:0  PM,34.8,23.6,3.78
 2/3/19  12:4:0  PM,34.4,23.6,3.78
 2/3/19  12:5:0  PM,34.4,23.6,3.78
 2/3/19  12:6:0  PM,34.4,23.3,3.78
 2/3/19  12:7:0  PM,34.4,23.3,3.78
 2/3/19  12:8:0  PM,34.4,23.3,3.78
 2/3/19  12:9:0  PM,34.3,,3.78
 2/3/19  2:0:0  PM,36.4,16.2,3.78
 2/3/19  2:1:0  PM,36.4,16.2,3.78
 2/3/19  2:2:0  PM,36.4,16.2,3.78
 2/3/19  2:3:0  PM,36.6,16.2,3.78
 2/3/19  2:4:0  PM,36.5,16.4,3.78
 2/3/19  2:5:0  PM,36.7,16.4,3.78
 2/3/19  2:6:0  PM,36.4,16.4,3.75
 2/3/19  2:7:0  PM,36.8,16.4,3.75
 2/3/19  2:8:0  PM,36.4,16.4,3.75
 2/3/19  2:9:0  PM,36.4,16.4,3.75
 2/3/19  4:0:0  PM,33.5,18.5,3.74
 2/3/19  4:1:0  PM,33.2,18.5,3.74
 2/3/19  4:2:0  PM,33.2,18.5,3.74
 2/3/19  4:3:0  PM,33.2,18.5,3.74
 2/3/19  4:4:0  PM,33.2,18.6,3.74
 2/3/19  4:5:0  PM,33.1,18.6,3.82
 2/3/19  4:6:0  PM,33.5,18.6,3.82
 2/3/19  4:7:0  PM,33.5,18.6,3.82
 2/3/19  4:8:0  PM,33.5,18.6,3.82
 2/3/19  4:9:0  PM,33.5,19.1,3.82
 2/3/19  6:0:0  PM,31.1,22.3,3.82
 2/3/19  6:1:0  PM,31.1,22.3,3.82
 2/3/19  6:2:0  PM,31.1,22.3,3.83
 2/3/19  6:3:0  PM,30.8,22.3,3.83
 2/3/19  6:4:0  PM,30.8,22.3,3.83
 2/3/19  6:5:0  PM,30.8,22.5,3.83
 2/3/19  6:6:0  PM,30.8,22.5,3.83
 2/3/19  6:7:0  PM,30.7,22.5,3.83
 2/3/19  6:8:0  PM,30.7,22.6,3.83
 2/3/19  6:9:0  PM,30.7,22.6,3.83
 2/3/19  8:0:0  PM,28.5,34.4,3.83
 2/3/19  8:1:0  PM,28.5,34.4,3.83
 2/3/19  8:2:0  PM,28.5,34.4,3.83
 2/3/19  8:3:0  PM,28.5,34.4,3.83
 2/3/19  8:4:0  PM,28.5,34.4,3.83
 2/3/19  8:5:0  PM,27.3,34.7,3.83
 2/3/19  8:6:0  PM,27.2,34.7,3.83
 2/3/19  8:7:0  PM,27.3,34.7,3.83
 2/3/19  8:8:0  PM,27.1,34.8,3.83
 2/3/19  8:9:0  PM,27.3,34.8,3.83
 3/3/19  8:0:0  AM,27.3,69.3,4.22
 3/3/19  8:1:0  AM,27.3,69.3,4.22
 3/3/19  8:2:0  AM,27.3,69.3,4.22
 3/3/19  8:3:0  AM,27.5,69.3,4.22
 3/3/19  8:4:0  AM,27.3,69.3,4.22
 3/3/19  8:5:0  AM,27.3,69.2,4.22
 3/3/19  8:6:0  AM,27.3,69.2,4.22
 3/3/19  8:7:0  AM,27.3,69.2,4.22
 3/3/19  8:8:0  AM,27.1,69.2,4.22
 3/3/19  8:9:0  AM,27.3,69.2,4.25
 3/3/19  10:0:0  AM,29.1,40.4,4.25
 3/3/19  10:1:0  AM,29.1,40.4,4.25
 3/3/19  10:2:0  AM,29.1,40.4,4.25
 3/3/19  10:3:0  AM,29.2,40.4,4.25
 3/3/19  10:4:0  AM,29.1,40.4,4.25
 3/3/19  10:5:0  AM,29.4,40.1,4.25
 3/3/19  10:6:0  AM,29.5,40.1,4.25
 3/3/19  10:7:0  AM,29.6,40.1,4.25
 3/3/19  10:8:0  AM,29.4,40.1,4.34
 3/3/19  10:9:0  AM,29.5,40.1,4.34
 3/3/19  12:0:0  PM,32.4,24.6,4.34
 3/3/19  12:1:0  PM,32.4,24.6,4.34
 3/3/19  12:2:0  PM,32.4,24.6,4.34
 3/3/19  12:3:0  PM,32.8,24.6,4.34
 3/3/19  12:4:0  PM,32.4,24.6,4.34
 3/3/19  12:5:0  PM,32.4,24.6,4.34
 3/3/19  12:6:0  PM,32.4,24.3,4.34
 3/3/19  12:7:0  PM,32.4,24.3,4.34
 3/3/19  12:8:0  PM,32.4,24.3,4.34
 3/3/19  12:9:0  PM,32.4,24.3,4.34
 3/3/19  2:0:0  PM,35.4,14.2,4.34
 3/3/19  2:1:0  PM,35.4,14.2,4.58
 3/3/19  2:2:0  PM,35.4,14.2,4.58
 3/3/19  2:3:0  PM,35.6,14.2,4.58
 3/3/19  2:4:0  PM,35.5,14.4,4.58
 3/3/19  2:5:0  PM,35.7,14.4,4.58
 3/3/19  2:6:0  PM,36.4,14.4,4.58
 3/3/19  2:7:0  PM,36.4,14.4,4.58
 3/3/19  2:8:0  PM,36.4,14.4,4.58
 3/3/19  2:9:0  PM,36.4,14.4,4.58
 3/3/19  4:0:0  PM,33.2,25.5,4.24
 3/3/19  4:1:0  PM,33.2,25.5,4.24
 3/3/19  4:2:0  PM,33.2,25.5,4.24
 3/3/19  4:3:0  PM,33.2,25.5,4.24
 3/3/19  4:4:0  PM,33.2,26.6,4.24
 3/3/19  4:5:0  PM,33.1,26.6,4.24
 3/3/19  4:6:0  PM,33.5,26.6,4.24
 3/3/19  4:7:0  PM,33.5,26.6,4.24
 3/3/19  4:8:0  PM,33.5,26.6,4.24
 3/3/19  4:9:0  PM,33.5,26.6,4.24
 3/3/19  6:0:0  PM,30.1,30.3,4.19
 3/3/19  6:1:0  PM,30.1,30.3,4.19
 3/3/19  6:2:0  PM,30.1,30.3,4.19
 3/3/19  6:3:0  PM,29.8,30.3,4.19
 3/3/19  6:4:0  PM,29.8,30.3,4.19
 3/3/19  6:5:0  PM,29.8,30.3,4.19
 3/3/19  6:6:0  PM,29.8,30.5,4.19
 3/3/19  6:7:0  PM,29.8,30.5,4.19
 3/3/19  6:8:0  PM,29.7,30.5,4.19
 3/3/19  6:9:0  PM,29.7,30.5,4.19
 3/3/19  8:0:0  PM,28.5,54.4,4.19
 3/3/19  8:1:0  PM,27.7,54.4,4.19
 3/3/19  8:2:0  PM,27.7,54.4,4.19
 3/3/19  8:3:0  PM,27.7,54.4,4.19
 3/3/19  8:4:0  PM,27.7,54.4,4.19
 3/3/19  8:5:0  PM,27.3,54.7,4.19
 3/3/19  8:6:0  PM,27.2,54.7,4.19
 3/3/19  8:7:0  PM,27.3,54.7,4.19
 3/3/19  8:8:0  PM,27.1,54.7,4.19
 3/3/19  8:9:0  PM,27.3,54.7,4.19
 4/3/19  8:0:0  AM,26.6,67.3,4.34
 4/3/19  8:1:0  AM,26.6,67.3,4.34
 4/3/19  8:2:0  AM,26.6,67.3,4.34
 4/3/19  8:3:0  AM,26.6,67.3,4.34
 4/3/19  8:4:0  AM,26.6,67.3,4.34
 4/3/19  8:5:0  AM,26.6,67.3,4.34
 4/3/19  8:6:0  AM,26.6,67.3,4.34
 4/3/19  8:7:0  AM,26.6,67.3,4.34
 4/3/19  8:8:0  AM,27.1,67.3,4.34
 4/3/19  8:9:0  AM,27.1,67.3,4.35
 4/3/19  10:0:0  AM,28.5,41.4,4.15
 4/3/19  10:1:0  AM,28.5,41.4,4.15
 4/3/19  10:2:0  AM,28.5,41.4,4.15
 4/3/19  10:3:0  AM,28.5,41.4,4.15
 4/3/19  10:4:0  AM,28.5,41.4,4.15
 4/3/19  10:5:0  AM,28.6,41.1,4.15
 4/3/19  10:6:0  AM,28.6,41.1,4.15
 4/3/19  10:7:0  AM,28.6,41.1,4.15
 4/3/19  10:8:0  AM,28.6,41.1,4.14
 4/3/19  10:9:0  AM,28.6,41.1,4.14
 4/3/19  12:0:0  PM,33.5,25.6,4.24
 4/3/19  12:1:0  PM,33.5,25.6,4.24
 4/3/19  12:2:0  PM,33.5,25.6,4.24
 4/3/19  12:3:0  PM,33.9,25.6,4.24
 4/3/19  12:4:0  PM,33.9,25.6,4.24
 4/3/19  12:5:0  PM,33.9,25.6,4.24
 4/3/19  12:6:0  PM,33.9,25.3,4.24
 4/3/19  12:7:0  PM,33.9,25.3,4.24
 4/3/19  12:8:0  PM,33.9,25.3,4.24
 4/3/19  12:9:0  PM,33.9,25.3,4.24
 4/3/19  2:0:0  PM,36.4,19.2,4.67
 4/3/19  2:1:0  PM,36.4,19.2,4.67
 4/3/19  2:2:0  PM,36.4,19.2,4.67
 4/3/19  2:3:0  PM,36.4,19.2,4.67
 4/3/19  2:4:0  PM,36.4,19.1,4.67
 4/3/19  2:5:0  PM,36.4,19.1,4.67
 4/3/19  2:6:0  PM,36.7,19.1,4.67
 4/3/19  2:7:0  PM,36.7,19.1,4.67
 4/3/19  2:8:0  PM,36.7,19.1,4.67
 4/3/19  2:9:0  PM,36.7,19.1,4.67
 4/3/19  4:0:0  PM,33.2,25.5,4.44
 4/3/19  4:1:0  PM,33.2,25.5,4.44
 4/3/19  4:2:0  PM,33.2,25.5,4.44
